"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-12-02 22:56:41";158727000;41.76359;41.5965;-136673;0;7
Облако-земля;"2022-12-02 22:57:16";507398918;41.81841;41.54388;-15769;0;12
Облако-земля;"2022-12-02 22:58:21";314484244;41.35228;40.62007;-14205;0;9
Облако-облако;"2022-12-02 22:58:52";291983685;41.81609;41.59171;-9355;8202;8
Облако-земля;"2022-12-02 22:58:52";289709146;41.66448;41.56105;-19540;0;13
Облако-земля;"2022-12-02 22:59:24";363422868;41.84681;41.58226;-10865;0;12
Облако-земля;"2022-12-02 22:59:42";691192728;41.28816;40.65486;-22177;0;8
Облако-земля;"2022-12-02 23:00:49";224334440;41.43086;41.38195;-10229;0;11
Облако-облако;"2022-12-02 23:01:12";169326855;41.40232;40.85049;-34103;13497;20
Облако-земля;"2022-12-02 23:01:12";182838127;41.34968;40.65247;-10973;0;11
Облако-земля;"2022-12-02 23:01:30";202714961;42.03039;39.9936099;-12157;0;11
Облако-земля;"2022-12-02 23:01:46";603662418;41.7499899;41.48345;-38579;0;16
Облако-земля;"2022-12-02 23:03:39";850289153;41.3881;41.28247;-16272;0;11
Облако-земля;"2022-12-02 23:04:02";312695820;41.30313;40.7151;-88157;0;13
Облако-земля;"2022-12-02 23:04:12";308402249;41.82157;41.58535;-5277;0;7
Облако-земля;"2022-12-02 23:05:39";948301095;41.38716;41.28731;-13980;0;12
Облако-облако;"2022-12-02 23:06:01";554195847;41.36659;40.6293;-86708;10983;15
Облако-земля;"2022-12-02 23:06:17";719333697;41.38554;41.3496499;-5913;0;11
Облако-облако;"2022-12-02 23:06:49";74722883;41.8561;41.6175;-107999;11810;15
Облако-земля;"2022-12-02 23:07:25";324392361;41.35543;40.60864;-54132;0;11
Облако-облако;"2022-12-02 23:07:52";452685496;41.38383;41.14908;-9890;3009;7
Облако-земля;"2022-12-02 23:07:52";483651461;41.4072;41.3424;-39124;0;15
Облако-земля;"2022-12-02 23:07:52";833165746;41.44812;41.46679;-7868;0;12
Облако-облако;"2022-12-02 23:08:51";841106280;41.29202;41.18963;-14050;11726;13
Облако-земля;"2022-12-02 23:10:57";661773235;41.41212;41.3542599;-28642;0;14
Облако-облако;"2022-12-02 23:10:57";879402493;41.47631;41.51271;-15375;14789;12
Облако-облако;"2022-12-02 23:10:58";407275260;41.8104;41.54312;-13580;3111;10
Облако-облако;"2022-12-02 23:10:58";124198233;41.71526;41.78832;7903;3004;12
Облако-облако;"2022-12-02 23:10:58";121468030;41.66972;41.60742;4860;16467;8
Облако-облако;"2022-12-02 23:11:14";9354766;41.3474999;40.61931;-93585;10545;14
Облако-облако;"2022-12-02 23:11:14";529248180;41.2175299;40.76298;-12114;7606;10
Облако-земля;"2022-12-02 23:11:52";119845481;41.31022;41.19377;-3578;0;8
Облако-земля;"2022-12-02 23:12:13";175142273;41.39822;41.41282;15441;0;15
Облако-земля;"2022-12-02 23:13:33";875013000;41.7418;41.5876;-189639;0;6
Облако-облако;"2022-12-02 23:13:33";955972456;41.86488;41.63061;-4990;7278;8
Облако-облако;"2022-12-02 23:15:37";20720494;41.23861;41.20555;-45213;16361;9
Облако-облако;"2022-12-02 23:15:37";21594631;41.3402699;40.65813;-150574;11546;9
Облако-земля;"2022-12-02 23:15:47";29099584;41.28705;41.28186;-7889;0;8
Облако-облако;"2022-12-02 23:15:47";113576929;41.51348;41.65498;-12304;4741;11
Облако-облако;"2022-12-02 23:15:47";125354047;41.3985399;41.29884;14339;12407;13
Облако-земля;"2022-12-02 23:17:34";85586622;41.81273;41.5857;-13755;0;14
Облако-облако;"2022-12-02 23:17:58";255698112;41.47366;41.31396;-5472;13656;7
Облако-облако;"2022-12-02 23:17:58";162090430;41.44977;41.50915;-21169;3047;19
Облако-облако;"2022-12-02 23:17:58";165456912;41.39449;41.37222;-29796;14527;17
Облако-земля;"2022-12-02 23:18:11";643400848;41.33907;40.62124;-15579;0;14
Облако-земля;"2022-12-02 23:18:22";518518613;41.2867;40.6924599;-6558;0;11
Облако-облако;"2022-12-02 23:19:15";232759971;41.31938;41.26057;-12510;15281;11
Облако-облако;"2022-12-02 23:19:15";228469925;41.39919;41.3192499;-13703;19054;11
Облако-земля;"2022-12-02 23:19:49";665382224;41.82012;41.61699;-58622;0;16
Облако-облако;"2022-12-02 23:19:49";663799635;41.89972;41.7011899;-54375;12573;12
Облако-земля;"2022-12-02 23:19:54";357685854;41.3638;40.61744;-42633;0;15
Облако-облако;"2022-12-02 23:20:18";408091853;41.33847;40.62694;-5610;3047;12
Облако-земля;"2022-12-02 23:20:32";388104203;41.2748;40.70391;-19571;0;14
Облако-земля;"2022-12-02 23:21:22";965777715;41.36397;40.64505;-25822;0;13
